127.0.0.1 - - [22/Nov/2018:10:19:22 +0800] "GET / HTTP/1.1" 404 951
192.168.31.28 - - [22/Nov/2018:10:24:50 +0800] "GET /activity/swagger/index.html HTTP/1.1" 200 4380
192.168.31.28 - - [22/Nov/2018:10:24:50 +0800] "GET /activity/swagger/css/reset.css HTTP/1.1" 200 773
192.168.31.28 - - [22/Nov/2018:10:24:50 +0800] "GET /activity/swagger/css/typography.css HTTP/1.1" 200 -
192.168.31.28 - - [22/Nov/2018:10:24:50 +0800] "GET /activity/swagger/lib/jquery.slideto.min.js HTTP/1.1" 200 365
192.168.31.28 - - [22/Nov/2018:10:24:50 +0800] "GET /activity/swagger/lib/object-assign-pollyfill.js HTTP/1.1" 200 349
192.168.31.28 - - [22/Nov/2018:10:24:50 +0800] "GET /activity/swagger/lib/jquery.ba-bbq.min.js HTTP/1.1" 200 3518
192.168.31.28 - - [22/Nov/2018:10:24:50 +0800] "GET /activity/swagger/lib/jquery.wiggle.min.js HTTP/1.1" 200 536
192.168.31.28 - - [22/Nov/2018:10:24:50 +0800] "GET /activity/swagger/css/screen.css HTTP/1.1" 200 43644
192.168.31.28 - - [22/Nov/2018:10:24:50 +0800] "GET /activity/swagger/lib/backbone-min.js HTTP/1.1" 200 19371
192.168.31.28 - - [22/Nov/2018:10:24:50 +0800] "GET /activity/swagger/lib/lodash.min.js HTTP/1.1" 200 51894
192.168.31.28 - - [22/Nov/2018:10:24:50 +0800] "GET /activity/swagger/lib/handlebars-4.0.5.js HTTP/1.1" 200 71504
192.168.31.28 - - [22/Nov/2018:10:24:50 +0800] "GET /activity/swagger/lib/highlight.9.1.0.pack.js HTTP/1.1" 200 10962
192.168.31.28 - - [22/Nov/2018:10:24:50 +0800] "GET /activity/swagger/lib/highlight.9.1.0.pack_extended.js HTTP/1.1" 200 310
192.168.31.28 - - [22/Nov/2018:10:24:50 +0800] "GET /activity/swagger/lib/marked.js HTTP/1.1" 200 15724
192.168.31.28 - - [22/Nov/2018:10:24:50 +0800] "GET /activity/swagger/lib/jquery-1.8.0.min.js HTTP/1.1" 200 92032
192.168.31.28 - - [22/Nov/2018:10:24:50 +0800] "GET /activity/swagger/lib/swagger-oauth.js HTTP/1.1" 200 7042
192.168.31.28 - - [22/Nov/2018:10:24:50 +0800] "GET /activity/swagger/images/logo_small.png HTTP/1.1" 200 455
192.168.31.28 - - [22/Nov/2018:10:24:50 +0800] "GET /activity/swagger/lib/jsoneditor.min.js HTTP/1.1" 200 129835
192.168.31.28 - - [22/Nov/2018:10:24:50 +0800] "GET /activity/swagger/css/print.css HTTP/1.1" 200 41666
192.168.31.28 - - [22/Nov/2018:10:24:50 +0800] "GET /activity/swagger/swagger-ui.js HTTP/1.1" 200 990220
192.168.31.28 - - [22/Nov/2018:10:24:50 +0800] "GET /activity/swagger/images/favicon-32x32.png HTTP/1.1" 200 1141
192.168.31.28 - - [22/Nov/2018:10:24:50 +0800] "GET /activity/api-docs HTTP/1.1" 200 652
192.168.31.28 - - [22/Nov/2018:10:24:50 +0800] "GET /activity/swagger/images/favicon-16x16.png HTTP/1.1" 200 445
192.168.31.28 - - [22/Nov/2018:10:24:50 +0800] "GET /activity/api-docs/default/activity-data-controller HTTP/1.1" 200 6501
192.168.31.28 - - [22/Nov/2018:10:24:50 +0800] "GET /activity/api-docs/default/activity-controller HTTP/1.1" 200 14248
192.168.31.28 - - [22/Nov/2018:10:24:50 +0800] "GET /activity/api-docs/default/member-controller HTTP/1.1" 200 6926
192.168.31.28 - - [22/Nov/2018:10:24:50 +0800] "GET /activity/api-docs/default/accept-correlation-controller HTTP/1.1" 200 12323
192.168.31.121 - - [22/Nov/2018:10:52:36 +0800] "POST /activity/accept/updateMemberByMemberId HTTP/1.1" 200 67
192.168.31.121 - - [22/Nov/2018:11:03:24 +0800] "POST /activity/accept/updateMemberByMemberId HTTP/1.1" 200 54
192.168.31.121 - - [22/Nov/2018:11:04:50 +0800] "POST /activity/accept/updateMemberByMemberId HTTP/1.1" 200 54
192.168.31.121 - - [22/Nov/2018:11:12:06 +0800] "POST /activity/accept/frozenMembers HTTP/1.1" 200 54
192.168.31.121 - - [22/Nov/2018:11:13:49 +0800] "POST /activity/accept/frozenMembers HTTP/1.1" 200 54
